commodity,commodity_group,commodity_uuid,units
"Absinthe","Forest Products","VAAR380","Rs./Quintal"
"AJOWAIN","Unknown","VAAR609","Rs./Quintal"
"AJWAIN","Unknown","VAAR710","Rs./Quintal"
"AJWAIN HUSK","Others","VAAR454","Rs./Quintal"
"Ajwan","Spices","VAAR115","Rs./Quintal"
"Alasande Gram","Pulses","VAAR234","Rs./Quintal"
"Almond(Badam)","Dry Fruits","VAAR275","Rs./Quintal"
"Alsandikai","Vegetables","VAAR138","Rs./Quintal"
"Amaranthus","Vegetables","VAAR72","Rs./Quintal"
"Ambady/Mesta","Fibre Crops","VAAR346","Rs./Quintal"
"AMERICAN-COTTON","Unknown","VAAR548","Rs./Quintal"
"AMLA","Unknown","VAAR735","Rs./Quintal"
"Amla(Nelli Kai)","Fruits","VAAR303","Rs./Quintal"
"Amranthas Red","Vegetables","VAAR348","Rs./Quintal"
"Anthorium","Flowers","VAAR326","Rs./Unit"
"ANUMULU (FIELD BEAN)","Unknown","VAAR647","Rs./Quintal"
"Apple","Fruits","VAAR17","Rs./Quintal"
"APPLE -RICH RED LARGE","Unknown","VAAR771","Rs./Quintal"
"APPLE -RICH RED MEDIUM","Unknown","VAAR822","Rs./Quintal"
"APPLE-RED GOLDEN  MEDUIM","Unknown","VAAR814","Rs./Quintal"
"APPLE-RED ROYAL  LARGE","Unknown","VAAR831","Rs./Quintal"
"APRICOT","Unknown","VAAR826","Rs./Quintal"
"ARBI (COLACASIA)","Unknown","VAAR583","Rs./Quintal"
"ARECA NUT (BETEL NUT)","Unknown","VAAR610","Rs./Quintal"
"Arecanut(Betelnut/Supari)","Drug and Narcotics","VAAR118","Rs./Quintal"
"Arhar Dal(Tur Dal)","Pulses","VAAR214","Rs./Quintal"
"ARHAR WHOLE / TUR (RED GRAM)","Unknown","VAAR576","Rs./Quintal"
"Arhar(Tur/Red Gram)(Whole)","Pulses","VAAR45","Rs./Quintal"
"Asalia","Drug and Narcotics","VAAR373","Rs./Quintal"
"Asgand","Spices","VAAR434","Rs./Quintal"
"Ashgourd","Vegetables","VAAR69","Rs./Quintal"
"Ashwagandha","Drug and Narcotics","VAAR372","Rs./Quintal"
"Asparagus","Drug and Narcotics","VAAR363","Rs./Quintal"
"Astera","Flowers","VAAR190","Rs./Quintal"
"Avare Dal","Pulses","VAAR223","Rs./Quintal"
"BAJRA","Unknown","VAAR743","Rs./Quintal"
"BAJRA-HYBRID","Unknown","VAAR776","Rs./Quintal"
"BAJRA-LOCAL","Unknown","VAAR783","Rs./Quintal"
"BAJRA-YELLOW","Unknown","VAAR797","Rs./Quintal"
"Bajra(Pearl Millet/Cumbu)","Cereals","VAAR28","Rs./Quintal"
"Balekai","Vegetables","VAAR228","Rs./Quintal"
"BAMBOO","Forest Products","VAAR164","Rs./Unit"
"Banana","Fruits","VAAR19","Rs./Quintal"
"Banana - Green","Vegetables","VAAR76","Rs./Quintal"
"BANANA AMRUTHAPANI","Unknown","VAAR815","Rs./Quintal"
"BANANA BHUSHAVALI","Unknown","VAAR816","Rs./Quintal"
"BANANA BONTHA","Unknown","VAAR817","Rs./Quintal"
"BANANA KADALI","Unknown","VAAR839","Rs./Quintal"
"BANANA KARPURA","Unknown","VAAR818","Rs./Quintal"
"BANANA NENDRAN","Unknown","VAAR773","Rs./Quintal"
"BANANA OTHERS","Unknown","VAAR827","Rs./Quintal"
"BANANA RED CHAKRAKELI","Unknown","VAAR819","Rs./Quintal"
"BANANA RED KAPPA","Unknown","VAAR840","Rs./Quintal"
"BANANA STEM","Vegetables","VAAR413","Rs./Quintal"
"BANANA WHITE CHAKRAKELI ","Unknown","VAAR770","Rs./Quintal"
"Barley(Jau)","Cereals","VAAR29","Rs./Quintal"
"BARNYARD MILLET","Cereals","VAAR461","Rs./Quintal"
"basil","Drug and Narcotics","VAAR364","Rs./Quintal"
"Beans","Pulses","VAAR80","Rs./Quintal"
"BEANS -CLUSTER","Unknown","VAAR718","Rs./Quintal"
"Beaten Rice","Cereals","VAAR216","Rs./Quintal"
"Beetroot","Vegetables","VAAR129","Rs./Quintal"
"Behada","Forest Products","VAAR437","Rs./Quintal"
"Bengal Gram Dal(Chana Dal)","Pulses","VAAR217","Rs./Quintal"
"BENGAL GRAM HYBRID","Unknown","VAAR646","Rs./Quintal"
"BENGAL GRAM LOCAL","Unknown","VAAR639","Rs./Quintal"
"Bengal Gram(Gram)(Whole)","Pulses","VAAR6","Rs./Quintal"
"BER","Unknown","VAAR723","Rs./Quintal"
"Ber(Zizyphus/Borehannu)","Fruits","VAAR304","Rs./Quintal"
"Betal Leaves","Drug and Narcotics","VAAR121","Rs./Quintal"
"BETEL LEAVES","Unknown","VAAR608","Rs./Unit"
"Betelnuts","Spices","VAAR37","Rs./Quintal"
"Bhindi(Ladies Finger)","Vegetables","VAAR71","Rs./Quintal"
"Big Gram","Pulses","VAAR97","Rs./Quintal"
"Bitter gourd","Vegetables","VAAR67","Rs./Quintal"
"Black Gram Dal(Urd Dal)","Pulses","VAAR218","Rs./Quintal"
"Black Gram(Urd Beans)(Whole)","Pulses","VAAR8","Rs./Quintal"
"Black pepper","Spices","VAAR34","Rs./Quintal"
"BOP","Flowers","VAAR327","Rs./Unit"
"Bottle gourd","Vegetables","VAAR68","Rs./Quintal"
"BOTTLE GOURD","Vegetables","VAAR68","Rs./Quintal"
"BOTTLE GOURDE","Unknown","VAAR725","Rs./Quintal"
"Brinjal","Vegetables","VAAR32","Rs./Quintal"
"BRINJAL","Vegetables","VAAR32","Rs./Quintal"
"BRINJAL-HYBRID","Unknown","VAAR726","Rs./Quintal"
